Time,1mRNAc(),mRNAc()
17475.38869,16,13
17503.38909,16,14
17531.3913,16,14
17559.3931,16,14
17587.4009,17,14
17615.40645,17,14
17643.40741,16,15
17671.41202,16,15
17699.41596,16,15
17727.42372,16,15
17755.43028,16,15
17783.44354,16,16
17811.44918,16,16
17839.45159,16,16
17867.45221,16,16
17895.45727,16,16
17923.46803,15,16
17951.49093,15,16
17979.49257,15,15
18007.50378,15,15
18035.50566,15,15
18063.51031,15,14
18091.51347,15,14
18119.51547,15,13
18147.51716,15,13
18175.52273,14,13
18203.5312,14,13
18231.53257,14,13
18259.5342,13,13
18287.53488,13,13
18315.54091,13,14
18343.54106,13,13
18371.54817,12,14
18399.54835,12,15
18427.54845,13,16
18455.55354,13,16
18483.55556,13,17
18511.55789,13,19
18539.56079,14,19
18567.56788,15,19
18595.58154,15,19
18623.58434,14,19
18651.58473,14,19
18679.58558,13,19
18707.58853,14,19
18735.59673,15,19
18763.59725,15,20
18791.60728,14,20
18819.61145,14,19
18847.6237,14,19
18875.62414,13,19
18903.62468,13,19
18931.62858,14,20
18959.63291,14,19
18987.6332,14,19
19015.63375,15,17
19043.63485,15,17
19071.63645,15,18
19099.64194,16,19
19127.64325,16,19
19155.66351,16,19
19183.67879,16,19
19211.68606,16,19
19239.6869,16,19
19267.6925,16,19
19295.69333,15,21
19323.69526,15,21
19351.69659,15,21
19379.70263,15,22
19407.70577,15,23
19435.70761,15,24
19463.71479,16,23
19491.72143,16,23
19519.72436,16,23
19547.72701,16,23
19575.72942,16,22
19603.7316,17,22
19631.73215,16,20
19659.74521,16,20
19687.74546,16,20
19715.76176,17,20
19743.76512,17,20
19771.76536,17,20
19799.76539,17,20
19827.76607,17,21
19855.76809,18,20
19883.77122,18,20
19911.77282,17,20
19939.7762,18,18
19967.78036,18,19
19995.78925,20,18
20023.79056,21,18
20051.79154,20,18
20079.79211,20,18
20107.79227,20,18
20135.79549,19,18
20163.80451,20,18
20191.80474,20,17
20219.81458,19,17
20247.81719,19,19
20275.82505,19,18
20303.82583,19,17
20331.8312,19,17
20359.83121,19,17
20387.83184,19,18
20415.84314,20,19
20443.84534,19,19
20471.84756,18,19
20499.85326,17,19
20527.85688,17,19
20555.86257,17,19
20583.86527,17,18
